"sample","SBS1","SBS2","SBS4","SBS5","SBS13","SBS17a","SBS17b","SBS18","SBS40"
"SP53810",0,0,0.831472075364304,0.0464744711352099,0.0118672050435146,0,0,0.0569303217127327,0.0532559267442386
"SP55142",0,0.0732910255606486,0.400728053924276,0.184458098769566,0.100251017657489,0,0,0.036542026855228,0.204729777232792
"SP55235",0,0.0333201777060022,0.512405347421081,0.163102863360177,0.0253552101461302,0,0,0.0402206362270743,0.225595765139535
"SP54113",0,0.0400391630596577,0.439048132248608,0.216505036436211,0.0521836827690977,0,0,0.0535434571090217,0.198680528377403
"SP55509",0,0.0192311345911899,0.598026832186713,0.10175926904059,0.0297448993422084,0,0,0.095727329542906,0.155510535296392
"SP53618",0,0.0101176097819416,0.636140867565905,0.0926217133602915,0.0135213962484954,0,0,0.0920572645420185,0.155541148501348
"SP53460",0,0.0177600061786819,0.554660538376917,0.0458652102598466,0.0196352466297548,0,0,0.0859180442135316,0.276160954341268
"SP50611",0,0,0.638222230012186,0.0630315393691449,0.0203963245814703,0,0,0.0811895083135239,0.197160397723675
"SP56079",0,0.0181747267553643,0.611999770520682,0.117082004291695,0.0235349989614197,0,0,0.0332013420474921,0.196007157423347
"SP54745",0.0158871491092694,0.18458533447264,0.0749923731185122,0,0.130005567741925,0.0684068400605602,0.148892206260315,0,0.377230529236778
"SP54363",0,0.105458625210849,0.428593609487241,0.0874588066902299,0.087693037120984,0,0,0.0898857725703501,0.200910148920345
"SP53387",0.0101422727813985,0.207169972907374,0.352031713528267,0.0858752264146523,0.0808495004679222,0,0,0.0471393838005029,0.216791930099883
"SP50827",0.0114382329316644,0.0279387383083265,0.534659567307812,0.0959990727364336,0.0222766097885668,0,0,0.0945106431128027,0.213177135814394
"SP52779",0.0105674860850303,0.0459580804903314,0.531384078268841,0.12011667019153,0.0428834350076121,0,0,0.0973620512456887,0.151728198710967
"SP52667",0,0,0.648497402198645,0.114085621764672,0.0124709314581498,0,0,0.0478359673380398,0.177110077240494
"SP56168",0.0185122907441643,0.348548469411755,0.0298278024732913,0.140449845847103,0.285778141154943,0,0,0.0239300717158364,0.152953378652907
"SP52232",0.0138595685003783,0,0.59024367070016,0.16517880332123,0.0163257933793818,0,0,0.0366201436096385,0.177772020489211
"SP51824",0.0235474985343357,0.0829778831595175,0.333614148026252,0.323438571277498,0.0817961442716088,0,0,0.0306904209074211,0.123935333823367
"SP53073",0,0,0.429583753282186,0.285105313252097,0,0.0295155604272602,0.0722249079949387,0.0389103261595082,0.14466013888401
"SP55387",0,0,0.549900538406803,0.107331686965374,0.0105337059925778,0,0,0.0869789482352255,0.24525512040002
"SP50317",0.0310840376151236,0.151409999149282,0.0585461616320525,0.117433848867766,0.270555961461513,0,0,0.135417654505888,0.235552336768373
"SP56303",0.0499501542534129,0.0219025355065505,0.04035466245304,0.0921682590065259,0.0402346802919058,0,0,0.303489623286421,0.451900085202144
"SP50713",0.0145295652837702,0.141992668777952,0.342417329331128,0.245543719974452,0.185266479364166,0,0,0,0.0702502372685321
"SP50321",0.0197168227597707,0.0111439673811557,0.521586571052086,0.1254950150544,0.0117140029140436,0,0,0.0939322698386915,0.216411350999852
"SP50263",0.123046020494299,0.0346936650456603,0.0480795508494787,0.298510627086584,0.0577976216567008,0,0,0.0681867878473984,0.369685727019879
"SP53548",0.0376711875677017,0,0,0,0,0.0822008564247546,0.227494428407353,0,0.652633527600191
"SP55711",0.0913471953089425,0.108669493548717,0.0213512622933543,0.220805515771586,0.0796815590855818,0,0,0.0585827688303079,0.419562205161511
"SP50518",0.113912219193849,0.0442221983880211,0.0607260654586722,0.29787728176299,0.0310633048898346,0,0,0.0429420412162549,0.409256889090378
"SP51446",0.129063792479418,0.0604982317697868,0.0839335738072807,0.403170749702348,0.0182413067324979,0,0,0.0441621894938342,0.260930156014834
"SP52284",0.079927815552355,0.04532655359354,0,0.382755571428284,0.0358595346556578,0,0,0.124379256943455,0.331751267826708
"SP50592",0.156806576616408,0.0461455940009395,0,0.450327695870104,0,0,0,0.0775973482440648,0.269122785268483
"SP51037",0.211715933562025,0.0333756691521731,0,0.345556809754415,0.0310998177620116,0,0.0128211838803917,0.0398709234181344,0.325559662470849
"SP52607",0.156234176300014,0.103144024702447,0.0897668879628156,0.384658088685136,0.0685432914518155,0,0,0.0237542632774896,0.173899267620282
"SP50485",0.173779926802824,0.0344612499317071,0.0342362581047282,0.477128979958412,0,0,0,0.0389061685492348,0.241487416653094
"SP50412",0.109934907392992,0.0129316833961022,0.035937885391391,0.67207603083562,0,0,0,0.0209128946555345,0.148206598328361
"SP55309",0.233065695882998,0.0453985570612891,0.0384496729964528,0.410877629043317,0,0,0,0,0.272208445015943
"SP50406",0.253335375559205,0.0210658914675348,0.0591003887589151,0.316755009533312,0,0,0,0.0550154422044456,0.294727892476587
"SP55004",0.142618636453349,0,0.0756131373034536,0.673106184360565,0.012275706792999,0,0,0.0838634961778476,0.0125228389117853
